flavour,sub,img
fruity,melon,/tfwc/assets/tasting/flavours/melon.png
fruity,berry fruit,/tfwc/assets/tasting/flavours/berries-raspberry.png
fruity,citrus,/tfwc/assets/tasting/flavours/citrus-orange-1.png
fruity,citrus,/tfwc/assets/tasting/flavours/citrus-grapefruit.png
fruity,pear,/tfwc/assets/tasting/flavours/pear.png
fruity,green apple,/tfwc/assets/tasting/flavours/apple-green.png
fruity,apple,/tfwc/assets/tasting/flavours/apple-red.png
fruity,stone fruit,/tfwc/assets/tasting/flavours/stonefruit-cherry.png
fruity,stone fruit,/tfwc/assets/tasting/flavours/stonefruit-apricot.png
fruity,stone fruit,/tfwc/assets/tasting/flavours/stonefruit-nectarine.png
fruity,tropical,/tfwc/assets/tasting/flavours/pineapple.png
floral,floral,/tfwc/assets/tasting/flavours/floral.png
floral,blossom,/tfwc/assets/tasting/flavours/floral-1.png
floral,rose,/tfwc/assets/tasting/flavours/rose.png
floral,rose,/tfwc/assets/tasting/flavours/rose-1.png
floral,elderflower,/tfwc/assets/tasting/flavours/elderflower.png
floral,violet,/tfwc/assets/tasting/flavours/perfume-floral.png
floral,perfumed,/tfwc/assets/tasting/flavours/perfume-floral.png
floral,white flower/blossom,/tfwc/assets/tasting/flavours/white-blossoms.png
herbaceous,cut grass,/tfwc/assets/tasting/flavours/grass.png
herbaceous,asparagus,/tfwc/assets/tasting/flavours/asparagus.png
herbaceous,bay leaf,/tfwc/assets/tasting/flavours/bay-leaf.png
herbaceous,tobacco leaf,/tfwc/assets/tasting/flavours/bay-leaf.png
vegetative,capsicum,/tfwc/assets/tasting/flavours/capsicum.png
vegetative,asparagus,/tfwc/assets/tasting/flavours/asparagus.png
vegetative,eucalypt,/tfwc/assets/tasting/flavours/eucalypt.png
vegetative,green beans,/tfwc/assets/tasting/flavours/green-bean.png
woody,oak,/tfwc/assets/tasting/flavours/wood.png
woody,toast,/tfwc/assets/tasting/flavours/toast.png
woody,pencil shavings,/tfwc/assets/tasting/flavours/pencil-shavings.png
woody,vanilla,/tfwc/assets/tasting/flavours/vanilla.png
woody,nutty,/tfwc/assets/tasting/flavours/nutmeg.png
spicy,pepper,/tfwc/assets/tasting/flavours/pepper.png
spicy,clove,/tfwc/assets/tasting/flavours/cloves.png
spicy,nutmeg,/tfwc/assets/tasting/flavours/nutmeg.png
spicy,cinnamon,/tfwc/assets/tasting/flavours/cinnamon.png
spicy,liquorice,/tfwc/assets/tasting/flavours/liquorice.png
earthy,earthy,/tfwc/assets/tasting/flavours/smokey.png
earthy,mulch,/tfwc/assets/tasting/flavours/mulch.png
earthy,flinty,/tfwc/assets/tasting/flavours/flint.png
earthy,mushroom,/tfwc/assets/tasting/flavours/mushroom.png
earthy,minerally,/tfwc/assets/tasting/flavours/flint.png
earthy,wet stone,/tfwc/assets/tasting/flavours/wet-stone.png
savoury,bacon,/tfwc/assets/tasting/flavours/bacon.png
savoury,oyster,/tfwc/assets/tasting/flavours/oysters.png
savoury,vegemite,/tfwc/assets/tasting/flavours/vegemite.png
savoury,leather,/tfwc/assets/tasting/flavours/leather.png
savoury,tomato,/tfwc/assets/tasting/flavours/tomato.png
kerosine,petrol,/tfwc/assets/tasting/flavours/petrol.png
kerosine,cat piss,/tfwc/assets/tasting/flavours/cat-piss.png
